# galaxy_id rad[kpc] vobs[km/s] errv[km/s] mass[M_sun]
NGC2366_rotmod 2.97 48.10 1.74 2.12e+08
NGC2366_rotmod 3.21 48.80 1.08 2.12e+08
NGC2366_rotmod 3.44 50.70 1.55 2.12e+08
NGC2366_rotmod 3.69 52.10 2.78 2.12e+08
NGC2366_rotmod 3.92 53.00 2.98 2.12e+08
NGC2366_rotmod 4.16 53.70 2.39 2.12e+08
NGC2366_rotmod 4.40 51.20 2.21 2.12e+08
NGC2366_rotmod 4.64 51.60 1.45 2.12e+08
NGC2366_rotmod 4.87 51.50 1.84 2.12e+08
NGC2366_rotmod 5.11 50.40 2.53 2.12e+08
NGC2366_rotmod 5.35 48.50 4.60 2.12e+08
NGC2366_rotmod 5.59 50.00 5.91 2.12e+08
NGC2366_rotmod 5.82 49.00 7.42 2.12e+08
NGC2366_rotmod 6.06 49.40 5.92 2.12e+08
UGC11820_rotmod 0.26 16.00 5.09 5.54e+08
UGC11820_rotmod 0.44 18.90 4.44 5.54e+08
UGC11820_rotmod 0.61 25.80 3.36 5.54e+08
UGC11820_rotmod 0.79 35.80 3.79 5.54e+08
UGC11820_rotmod 1.01 44.10 7.91 5.54e+08
UGC11820_rotmod 5.26 59.65 0.98 5.54e+08
UGC11820_rotmod 7.91 69.15 1.23 5.54e+08
UGC11820_rotmod 10.52 76.95 0.54 5.54e+08
UGC11820_rotmod 13.14 81.25 0.73 5.54e+08
UGC11820_rotmod 15.82 84.45 1.31 5.54e+08
UGC06667_rotmod 0.87 26.60 4.40 4.20e+08
UGC06667_rotmod 1.74 45.20 2.70 4.20e+08
UGC06667_rotmod 2.61 57.00 3.90 4.20e+08
UGC06667_rotmod 3.50 69.30 3.00 4.20e+08
UGC06667_rotmod 4.37 77.30 3.40 4.20e+08
UGC06667_rotmod 5.24 80.70 3.90 4.20e+08
UGC06667_rotmod 6.11 84.00 3.00 4.20e+08
UGC06667_rotmod 6.98 85.00 3.00 4.20e+08
UGC06667_rotmod 7.85 85.70 3.40 4.20e+08
UGC00891_rotmod 1.48 24.35 2.92 3.36e+08
UGC00891_rotmod 2.97 43.55 1.40 3.36e+08
UGC00891_rotmod 4.45 54.15 0.67 3.36e+08
UGC00891_rotmod 5.94 60.15 0.48 3.36e+08
UGC00891_rotmod 7.39 63.75 0.95 3.36e+08
NGC1090_rotmod 0.35 20.90 9.81 6.35e+10
NGC1090_rotmod 1.07 61.70 8.19 6.35e+10
NGC1090_rotmod 1.60 81.30 4.32 6.35e+10
NGC1090_rotmod 3.70 124.00 3.41 6.35e+10
NGC1090_rotmod 5.09 156.00 7.02 6.35e+10
NGC1090_rotmod 6.61 166.00 6.34 6.35e+10
NGC1090_rotmod 8.17 165.00 12.10 6.35e+10
NGC1090_rotmod 9.11 174.00 4.84 6.35e+10
NGC1090_rotmod 10.37 164.00 5.86 6.35e+10
NGC1090_rotmod 11.28 176.00 7.35 6.35e+10
NGC1090_rotmod 13.62 174.00 3.28 6.35e+10
NGC1090_rotmod 15.04 168.00 2.23 6.35e+10
NGC1090_rotmod 16.37 166.00 2.23 6.35e+10
NGC1090_rotmod 17.59 167.00 4.59 6.35e+10
NGC1090_rotmod 18.80 167.00 5.30 6.35e+10
NGC1090_rotmod 20.13 165.00 3.48 6.35e+10
NGC1090_rotmod 21.35 165.00 3.12 6.35e+10
NGC1090_rotmod 22.57 165.00 2.39 6.35e+10
NGC1090_rotmod 23.89 165.00 2.23 6.35e+10
NGC1090_rotmod 25.11 163.00 2.23 6.35e+10
NGC1090_rotmod 26.33 162.00 2.23 6.35e+10
NGC1090_rotmod 27.65 162.00 2.23 6.35e+10
NGC1090_rotmod 28.87 162.00 2.23 6.35e+10
NGC1090_rotmod 30.09 160.00 2.23 6.35e+10
NGC4051_rotmod 1.74 121.00 14.80 4.96e+10
NGC4051_rotmod 3.50 116.00 7.80 4.96e+10
NGC4051_rotmod 5.24 140.00 7.00 4.96e+10
NGC4051_rotmod 6.98 160.00 6.60 4.96e+10
NGC4051_rotmod 8.72 161.00 5.20 4.96e+10
NGC4051_rotmod 10.47 154.00 7.40 4.96e+10
NGC4051_rotmod 12.19 153.00 9.80 4.96e+10
NGC6503_rotmod 0.76 77.00 10.00 1.25e+10
NGC6503_rotmod 1.52 100.00 5.00 1.25e+10
NGC6503_rotmod 2.28 110.00 2.00 1.25e+10
NGC6503_rotmod 3.04 118.00 2.00 1.25e+10
NGC6503_rotmod 3.79 121.00 2.00 1.25e+10
NGC6503_rotmod 4.55 121.00 2.00 1.25e+10
NGC6503_rotmod 5.31 117.00 2.00 1.25e+10
NGC6503_rotmod 6.07 116.00 2.00 1.25e+10
NGC6503_rotmod 6.83 116.00 2.00 1.25e+10
NGC6503_rotmod 7.59 116.00 2.00 1.25e+10
NGC6503_rotmod 8.35 115.00 1.00 1.25e+10
NGC6503_rotmod 9.11 115.00 1.00 1.25e+10
NGC6503_rotmod 9.86 116.00 1.00 1.25e+10
NGC6503_rotmod 10.64 117.00 1.00 1.25e+10
NGC6503_rotmod 11.38 117.00 1.00 1.25e+10
NGC6503_rotmod 12.12 118.00 1.00 1.25e+10
NGC6503_rotmod 12.86 117.00 1.00 1.25e+10
NGC6503_rotmod 13.70 116.00 1.00 1.25e+10
NGC6503_rotmod 14.44 115.00 1.00 1.25e+10
NGC6503_rotmod 15.18 117.00 1.00 1.25e+10
NGC6503_rotmod 15.91 116.00 1.00 1.25e+10
NGC6503_rotmod 16.65 115.00 2.00 1.25e+10
NGC6503_rotmod 17.49 115.00 2.00 1.25e+10
NGC6503_rotmod 18.23 115.00 2.00 1.25e+10
NGC6503_rotmod 18.97 114.00 2.00 1.25e+10
NGC6503_rotmod 19.71 115.00 2.00 1.25e+10
NGC6503_rotmod 20.45 114.00 2.00 1.25e+10
NGC6503_rotmod 21.29 116.00 2.00 1.25e+10
NGC6503_rotmod 22.03 115.00 3.00 1.25e+10
NGC6503_rotmod 22.76 118.00 4.00 1.25e+10
NGC6503_rotmod 23.50 115.00 10.00 1.25e+10
UGC05414_rotmod 0.68 20.50 2.47 5.95e+08
UGC05414_rotmod 1.37 34.60 2.45 5.95e+08
UGC05414_rotmod 2.05 46.00 2.45 5.95e+08
UGC05414_rotmod 2.74 51.80 2.46 5.95e+08
UGC05414_rotmod 3.42 56.80 2.44 5.95e+08
UGC05414_rotmod 4.11 61.40 2.44 5.95e+08
NGC3917_rotmod 0.87 24.30 3.90 1.77e+10
NGC3917_rotmod 1.74 49.60 3.90 1.77e+10
NGC3917_rotmod 2.61 73.60 5.20 1.77e+10
NGC3917_rotmod 3.50 101.00 4.40 1.77e+10
NGC3917_rotmod 4.37 107.00 3.50 1.77e+10
NGC3917_rotmod 5.24 115.00 3.50 1.77e+10
NGC3917_rotmod 6.11 123.00 3.90 1.77e+10
NGC3917_rotmod 6.98 130.00 3.90 1.77e+10
NGC3917_rotmod 7.85 134.00 3.50 1.77e+10
NGC3917_rotmod 8.72 136.00 3.90 1.77e+10
NGC3917_rotmod 9.60 137.00 4.00 1.77e+10
NGC3917_rotmod 10.47 136.00 3.50 1.77e+10
NGC3917_rotmod 11.35 137.00 3.50 1.77e+10
NGC3917_rotmod 12.19 137.00 3.50 1.77e+10
NGC3917_rotmod 13.12 137.00 5.00 1.77e+10
NGC3917_rotmod 13.94 138.00 5.00 1.77e+10
NGC3917_rotmod 14.86 137.00 7.50 1.77e+10
D564-8_rotmod 0.51 8.54 1.53 2.83e+07
